TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:45.832;2857.832;1
12:12:45.853;2859.809;1
12:12:45.876;2859.809;1
12:12:45.898;2859.438;1
12:12:45.923;2858.82;1
12:12:45.944;2859.438;1
12:12:45.970;2859.438;1
12:12:45.991;2860.056;1
12:12:46.014;2860.056;1
12:12:46.037;2859.438;1
12:12:46.059;2860.303;1
12:12:46.085;2860.674;1
12:12:46.106;2858.944;1
12:12:46.131;2858.944;1
12:12:46.154;2859.562;1
12:12:46.174;2859.562;1
12:12:46.198;2860.798;1
12:12:46.222;2859.315;1
12:12:46.243;2858.697;1
12:12:46.269;2858.697;1
12:12:46.290;2861.416;1
12:12:46.313;2861.416;1
12:12:46.338;2859.315;1
12:12:46.358;2858.82;1
12:12:46.385;2861.292;1
12:12:46.404;2861.292;1
12:12:46.427;2860.18;1
12:12:46.452;2859.067;1
12:12:46.473;2859.067;1
12:12:46.498;2861.539;1
12:12:46.520;2859.562;1
12:12:46.542;2859.562;1
12:12:46.568;2858.202;1
12:12:46.590;2860.674;1
12:12:46.613;2860.18;1
12:12:46.634;2860.18;1
12:12:46.659;2858.944;1
12:12:46.682;2858.944;1
12:12:46.704;2861.169;1
12:12:46.727;2861.045;1
12:12:46.752;2858.82;1
12:12:46.772;2858.82;1
12:12:46.797;2860.427;1
12:12:46.818;2860.427;1
12:12:46.843;2861.045;1
12:12:46.866;2859.067;1
12:12:46.888;2860.056;1
12:12:46.910;2860.798;1
12:12:46.936;2860.798;1
12:12:46.956;2858.82;1
12:12:46.982;2858.82;1
12:12:47.003;2858.326;1
12:12:47.026;2860.921;1
12:12:47.049;2859.686;1
12:12:47.074;2858.82;1
12:12:47.096;2858.82;1
12:12:47.117;2858.82;1
12:12:47.141;2861.045;1
12:12:47.165;2859.315;1
12:12:47.188;2859.067;1
12:12:47.211;2861.045;1
12:12:47.235;2861.045;1
12:12:47.257;2861.045;1
12:12:47.282;2859.933;1
12:12:47.304;2857.708;1
12:12:47.326;2860.921;1
12:12:47.348;2860.427;1
12:12:47.371;2860.427;1
12:12:47.394;2860.427;1
12:12:47.420;2859.191;1
12:12:47.441;2861.045;1
12:12:47.463;2858.944;1
12:12:47.487;2858.944;1
12:12:47.510;2858.944;1
12:12:47.532;2858.944;1
12:12:47.555;2860.427;1
12:12:47.578;2859.191;1
12:12:47.601;2859.191;1
12:12:47.624;2859.438;1
12:12:47.648;2859.438;1
12:12:47.670;2860.798;1
12:12:47.693;2859.067;1
12:12:47.716;2858.944;1
12:12:47.739;2861.416;1
12:12:47.762;2861.416;1
12:12:47.785;2861.416;1
12:12:47.808;2859.067;1
12:12:47.831;2858.573;1
12:12:47.854;2860.427;1
12:12:47.880;2859.438;1
12:12:47.900;2858.82;1
12:12:47.923;2858.82;1
12:12:47.947;2858.82;1
12:12:47.969;2860.551;1
12:12:47.994;2860.303;1
12:12:48.015;2858.202;1
12:12:48.039;2860.921;1
12:12:48.061;2860.921;1
12:12:48.084;2860.921;1
12:12:48.108;2859.809;1
12:12:48.133;2858.697;1
12:12:48.154;2860.921;1
12:12:48.177;2859.809;1
12:12:48.200;2859.809;1
12:12:48.222;2859.809;1
12:12:48.246;2858.326;1
